# Finite Temperature QED corrections for P_int. [P_int] = MeV^4
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           P_int (e^2)          P_int (e^3)          P_int (e^4)          P_int (e^5)          
1.000000E+20        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        
4.000400E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        
4.000000E+01        -4.074294E+03        3.628888E+02        -3.503654E+01        1.453468E+00        
3.996407E+01        -4.059671E+03        3.615866E+02        -3.490515E+01        1.447749E+00        
3.992817E+01        -4.045101E+03        3.602891E+02        -3.477425E+01        1.442052E+00        
3.989230E+01        -4.030584E+03        3.589962E+02        -3.464384E+01        1.436378E+00        
3.985646E+01        -4.016118E+03        3.577079E+02        -3.451392E+01        1.430726E+00        
3.982066E+01        -4.001704E+03        3.564243E+02        -3.438448E+01        1.425095E+00        
3.978489E+01        -3.987342E+03        3.551452E+02        -3.425553E+01        1.419487E+00        
3.974915E+01        -3.973032E+03        3.538708E+02        -3.412707E+01        1.413901E+00        
3.971344E+01        -3.958773E+03        3.526009E+02        -3.399908E+01        1.408336E+00        
3.967777E+01        -3.944565E+03        3.513356E+02        -3.387157E+01        1.402793E+00        
3.964212E+01        -3.930408E+03        3.500749E+02        -3.374454E+01        1.397272E+00        
3.960651E+01        -3.916302E+03        3.488186E+02        -3.361799E+01        1.391772E+00        
3.957093E+01        -3.902247E+03        3.475669E+02        -3.349191E+01        1.386294E+00        
3.953539E+01        -3.888242E+03        3.463197E+02        -3.336630E+01        1.380838E+00        
3.949987E+01        -3.874287E+03        3.450769E+02        -3.324116E+01        1.375402E+00        
3.946439E+01        -3.860382E+03        3.438386E+02        -3.311649E+01        1.369988E+00        
3.942894E+01        -3.846528E+03        3.426047E+02        -3.299229E+01        1.364595E+00        
3.939352E+01        -3.832722E+03        3.413753E+02        -3.286855E+01        1.359223E+00        
3.935813E+01        -3.818967E+03        3.401503E+02        -3.274528E+01        1.353872E+00        
3.932277E+01        -3.805261E+03        3.389296E+02        -3.262246E+01        1.348542E+00        
3.928745E+01        -3.791604E+03        3.377134E+02        -3.250011E+01        1.343232E+00        
3.925215E+01        -3.777996E+03        3.365015E+02        -3.237821E+01        1.337944E+00        
3.921689E+01        -3.764437E+03        3.352940E+02        -3.225677E+01        1.332676E+00        
3.918166E+01        -3.750926E+03        3.340908E+02        -3.213579E+01        1.327429E+00        
3.914647E+01        -3.737464E+03        3.328919E+02        -3.201525E+01        1.322202E+00        
3.911130E+01        -3.724051E+03        3.316973E+02        -3.189517E+01        1.316995E+00        
3.907617E+01        -3.710685E+03        3.305070E+02        -3.177554E+01        1.311809E+00        
3.904106E+01        -3.697368E+03        3.293210E+02        -3.165636E+01        1.306644E+00        
3.900599E+01        -3.684098E+03        3.281392E+02        -3.153762E+01        1.301498E+00        
3.897095E+01        -3.670876E+03        3.269617E+02        -3.141933E+01        1.296372E+00        
3.893595E+01        -3.657701E+03        3.257884E+02        -3.130148E+01        1.291267E+00        
3.890097E+01        -3.644574E+03        3.246193E+02        -3.118407E+01        1.286181E+00        
3.886602E+01        -3.631493E+03        3.234544E+02        -3.106710E+01        1.281116E+00        
3.883111E+01        -3.618460E+03        3.222937E+02        -3.095057E+01        1.276070E+00        
3.879623E+01        -3.605473E+03        3.211372E+02        -3.083448E+01        1.271044E+00        
3.876138E+01        -3.592534E+03        3.199848E+02        -3.071881E+01        1.266037E+00        
3.872656E+01        -3.579640E+03        3.188365E+02        -3.060359E+01        1.261050E+00        
3.869177E+01        -3.566793E+03        3.176923E+02        -3.048879E+01        1.256083E+00        
3.865701E+01        -3.553992E+03        3.165523E+02        -3.037443E+01        1.251135E+00        
3.862228E+01        -3.541236E+03        3.154164E+02        -3.026049E+01        1.246206E+00        
3.858759E+01        -3.528527E+03        3.142845E+02        -3.014698E+01        1.241296E+00        
3.855292E+01        -3.515863E+03        3.131567E+02        -3.003389E+01        1.236406E+00        
3.851829E+01        -3.503245E+03        3.120329E+02        -2.992123E+01        1.231535E+00        
3.848369E+01        -3.490672E+03        3.109132E+02        -2.980898E+01        1.226683E+00        
3.844912E+01        -3.478144E+03        3.097975E+02        -2.969716E+01        1.221850E+00        
3.841458E+01        -3.465661E+03        3.086858E+02        -2.958576E+01        1.217035E+00        
3.838007E+01        -3.453222E+03        3.075781E+02        -2.947478E+01        1.212240E+00        
3.834559E+01        -3.440829E+03        3.064743E+02        -2.936421E+01        1.207463E+00        
3.831115E+01        -3.428480E+03        3.053745E+02        -2.925405E+01        1.202705E+00        
3.827673E+01        -3.416175E+03        3.042787E+02        -2.914431E+01        1.197966E+00        
3.824235E+01        -3.403914E+03        3.031868E+02        -2.903497E+01        1.193245E+00        
3.820799E+01        -3.391698E+03        3.020988E+02        -2.892605E+01        1.188543E+00        
3.817367E+01        -3.379525E+03        3.010147E+02        -2.881754E+01        1.183858E+00        
3.813938E+01        -3.367396E+03        2.999345E+02        -2.870943E+01        1.179193E+00        
3.810512E+01        -3.355310E+03        2.988582E+02        -2.860172E+01        1.174545E+00        
3.807089E+01        -3.343268E+03        2.977858E+02        -2.849442E+01        1.169916E+00        
3.803669E+01        -3.331269E+03        2.967172E+02        -2.838752E+01        1.165305E+00        
3.800252E+01        -3.319313E+03        2.956524E+02        -2.828102E+01        1.160711E+00        
3.796838E+01        -3.307400E+03        2.945914E+02        -2.817492E+01        1.156136E+00        
3.793427E+01        -3.295530E+03        2.935343E+02        -2.806922E+01        1.151579E+00        
3.790020E+01        -3.283702E+03        2.924810E+02        -2.796392E+01        1.147039E+00        
3.786615E+01        -3.271917E+03        2.914314E+02        -2.785900E+01        1.142517E+00        
3.783213E+01        -3.260174E+03        2.903856E+02        -2.775448E+01        1.138013E+00        
3.779815E+01        -3.248473E+03        2.893435E+02        -2.765035E+01        1.133527E+00        
3.776419E+01        -3.236814E+03        2.883052E+02        -2.754662E+01        1.129058E+00        
3.773027E+01        -3.225197E+03        2.872706E+02        -2.744327E+01        1.124606E+00        
3.769638E+01        -3.213622E+03        2.862398E+02        -2.734030E+01        1.120172E+00        
3.766251E+01        -3.202088E+03        2.852126E+02        -2.723772E+01        1.115756E+00        
3.762868E+01        -3.190596E+03        2.841891E+02        -2.713553E+01        1.111356E+00        
3.759488E+01        -3.179145E+03        2.831693E+02        -2.703372E+01        1.106974E+00        
3.756111E+01        -3.167735E+03        2.821532E+02        -2.693229E+01        1.102609E+00        
3.752736E+01        -3.156366E+03        2.811406E+02        -2.683124E+01        1.098261E+00        
3.749365E+01        -3.145038E+03        2.801318E+02        -2.673057E+01        1.093930E+00        
3.745997E+01        -3.133750E+03        2.791265E+02        -2.663028E+01        1.089616E+00        
3.742632E+01        -3.122503E+03        2.781249E+02        -2.653036E+01        1.085318E+00        
3.739270E+01        -3.111296E+03        2.771268E+02        -2.643081E+01        1.081038E+00        
3.735911E+01        -3.100130E+03        2.761324E+02        -2.633164E+01        1.076774E+00        
3.732555E+01        -3.089003E+03        2.751415E+02        -2.623284E+01        1.072527E+00        
