# Finite Temperature QED corrections for d2P_int/dT2. [d2P_int/dT2] = MeV^2
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    dP2_int/dT2 (e^4)    dP2_int/dT2 (e^5)    
1.000000E+20        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        
4.000400E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        
4.000000E+01        -3.056498E+01        2.721751E+00        -2.904340E-01        2.377819E-02        
3.996407E+01        -3.051009E+01        2.716863E+00        -2.898700E-01        2.372982E-02        
3.992817E+01        -3.045529E+01        2.711984E+00        -2.893070E-01        2.368154E-02        
3.989230E+01        -3.040059E+01        2.707113E+00        -2.887451E-01        2.363336E-02        
3.985646E+01        -3.034600E+01        2.702252E+00        -2.881843E-01        2.358528E-02        
3.982066E+01        -3.029150E+01        2.697399E+00        -2.876246E-01        2.353729E-02        
3.978489E+01        -3.023710E+01        2.692555E+00        -2.870660E-01        2.348940E-02        
3.974915E+01        -3.018279E+01        2.687720E+00        -2.865084E-01        2.344161E-02        
3.971344E+01        -3.012859E+01        2.682893E+00        -2.859519E-01        2.339391E-02        
3.967777E+01        -3.007448E+01        2.678075E+00        -2.853965E-01        2.334631E-02        
3.964212E+01        -3.002046E+01        2.673266E+00        -2.848422E-01        2.329880E-02        
3.960651E+01        -2.996655E+01        2.668465E+00        -2.842889E-01        2.325139E-02        
3.957093E+01        -2.991273E+01        2.663673E+00        -2.837367E-01        2.320407E-02        
3.953539E+01        -2.985901E+01        2.658889E+00        -2.831856E-01        2.315685E-02        
3.949987E+01        -2.980538E+01        2.654114E+00        -2.826355E-01        2.310972E-02        
3.946439E+01        -2.975186E+01        2.649348E+00        -2.820865E-01        2.306269E-02        
3.942894E+01        -2.969842E+01        2.644590E+00        -2.815386E-01        2.301575E-02        
3.939352E+01        -2.964509E+01        2.639841E+00        -2.809917E-01        2.296891E-02        
3.935813E+01        -2.959185E+01        2.635100E+00        -2.804459E-01        2.292216E-02        
3.932277E+01        -2.953870E+01        2.630368E+00        -2.799011E-01        2.287550E-02        
3.928745E+01        -2.948565E+01        2.625644E+00        -2.793574E-01        2.282894E-02        
3.925215E+01        -2.943270E+01        2.620929E+00        -2.788147E-01        2.278247E-02        
3.921689E+01        -2.937984E+01        2.616222E+00        -2.782731E-01        2.273610E-02        
3.918166E+01        -2.932707E+01        2.611524E+00        -2.777325E-01        2.268982E-02        
3.914647E+01        -2.927440E+01        2.606834E+00        -2.771930E-01        2.264363E-02        
3.911130E+01        -2.922183E+01        2.602153E+00        -2.766545E-01        2.259753E-02        
3.907617E+01        -2.916935E+01        2.597479E+00        -2.761171E-01        2.255153E-02        
3.904106E+01        -2.911696E+01        2.592815E+00        -2.755807E-01        2.250561E-02        
3.900599E+01        -2.906467E+01        2.588159E+00        -2.750453E-01        2.245980E-02        
3.897095E+01        -2.901247E+01        2.583511E+00        -2.745109E-01        2.241407E-02        
3.893595E+01        -2.896036E+01        2.578871E+00        -2.739776E-01        2.236843E-02        
3.890097E+01        -2.890835E+01        2.574240E+00        -2.734454E-01        2.232289E-02        
3.886602E+01        -2.885643E+01        2.569617E+00        -2.729141E-01        2.227744E-02        
3.883111E+01        -2.880461E+01        2.565002E+00        -2.723839E-01        2.223207E-02        
3.879623E+01        -2.875288E+01        2.560396E+00        -2.718547E-01        2.218680E-02        
3.876138E+01        -2.870124E+01        2.555798E+00        -2.713265E-01        2.214162E-02        
3.872656E+01        -2.864969E+01        2.551208E+00        -2.707994E-01        2.209654E-02        
3.869177E+01        -2.859824E+01        2.546627E+00        -2.702732E-01        2.205154E-02        
3.865701E+01        -2.854688E+01        2.542053E+00        -2.697481E-01        2.200663E-02        
3.862228E+01        -2.849561E+01        2.537488E+00        -2.692240E-01        2.196181E-02        
3.858759E+01        -2.844443E+01        2.532931E+00        -2.687009E-01        2.191708E-02        
3.855292E+01        -2.839335E+01        2.528383E+00        -2.681788E-01        2.187245E-02        
3.851829E+01        -2.834236E+01        2.523842E+00        -2.676577E-01        2.182790E-02        
3.848369E+01        -2.829146E+01        2.519310E+00        -2.671377E-01        2.178344E-02        
3.844912E+01        -2.824065E+01        2.514785E+00        -2.666186E-01        2.173907E-02        
3.841458E+01        -2.818993E+01        2.510269E+00        -2.661005E-01        2.169479E-02        
3.838007E+01        -2.813930E+01        2.505761E+00        -2.655835E-01        2.165060E-02        
3.834559E+01        -2.808876E+01        2.501261E+00        -2.650674E-01        2.160650E-02        
3.831115E+01        -2.803832E+01        2.496769E+00        -2.645523E-01        2.156248E-02        
3.827673E+01        -2.798796E+01        2.492286E+00        -2.640383E-01        2.151856E-02        
3.824235E+01        -2.793770E+01        2.487810E+00        -2.635252E-01        2.147472E-02        
3.820799E+01        -2.788752E+01        2.483342E+00        -2.630131E-01        2.143097E-02        
3.817367E+01        -2.783744E+01        2.478882E+00        -2.625020E-01        2.138731E-02        
3.813938E+01        -2.778744E+01        2.474431E+00        -2.619919E-01        2.134373E-02        
3.810512E+01        -2.773754E+01        2.469987E+00        -2.614828E-01        2.130025E-02        
3.807089E+01        -2.768772E+01        2.465551E+00        -2.609746E-01        2.125685E-02        
3.803669E+01        -2.763800E+01        2.461124E+00        -2.604675E-01        2.121354E-02        
3.800252E+01        -2.758836E+01        2.456704E+00        -2.599613E-01        2.117031E-02        
3.796838E+01        -2.753881E+01        2.452292E+00        -2.594561E-01        2.112717E-02        
3.793427E+01        -2.748935E+01        2.447888E+00        -2.589519E-01        2.108412E-02        
3.790020E+01        -2.743998E+01        2.443492E+00        -2.584486E-01        2.104116E-02        
3.786615E+01        -2.739070E+01        2.439104E+00        -2.579463E-01        2.099828E-02        
3.783213E+01        -2.734151E+01        2.434724E+00        -2.574450E-01        2.095549E-02        
3.779815E+01        -2.729241E+01        2.430351E+00        -2.569447E-01        2.091278E-02        
3.776419E+01        -2.724339E+01        2.425987E+00        -2.564453E-01        2.087016E-02        
3.773027E+01        -2.719446E+01        2.421630E+00        -2.559469E-01        2.082763E-02        
3.769638E+01        -2.714562E+01        2.417281E+00        -2.554495E-01        2.078518E-02        
3.766251E+01        -2.709687E+01        2.412940E+00        -2.549530E-01        2.074281E-02        
3.762868E+01        -2.704821E+01        2.408607E+00        -2.544575E-01        2.070053E-02        
3.759488E+01        -2.699963E+01        2.404282E+00        -2.539629E-01        2.065834E-02        
3.756111E+01        -2.695114E+01        2.399964E+00        -2.534693E-01        2.061623E-02        
3.752736E+01        -2.690274E+01        2.395654E+00        -2.529766E-01        2.057421E-02        
3.749365E+01        -2.685442E+01        2.391352E+00        -2.524849E-01        2.053227E-02        
3.745997E+01        -2.680619E+01        2.387057E+00        -2.519942E-01        2.049041E-02        
3.742632E+01        -2.675805E+01        2.382770E+00        -2.515043E-01        2.044864E-02        
3.739270E+01        -2.670999E+01        2.378491E+00        -2.510155E-01        2.040695E-02        
3.735911E+01        -2.666202E+01        2.374220E+00        -2.505276E-01        2.036535E-02        
3.732555E+01        -2.661414E+01        2.369956E+00        -2.500406E-01        2.032383E-02        
