# Finite Temperature QED corrections for dP_int/dT. [dP_int/dT] = MeV^3
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      dP_int/dT (e^4)      dP_int/dT (e^5)      
1.000000E+20        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        
4.000400E+01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        
4.000000E+01        -4.074891E+02        3.628956E+01        -3.661788E+00        2.889394E-01        
3.996407E+01        -4.063919E+02        3.619185E+01        -3.651362E+00        2.880859E-01        
3.992817E+01        -4.052975E+02        3.609440E+01        -3.640966E+00        2.872348E-01        
3.989230E+01        -4.042061E+02        3.599721E+01        -3.630599E+00        2.863863E-01        
3.985646E+01        -4.031177E+02        3.590029E+01        -3.620261E+00        2.855402E-01        
3.982066E+01        -4.020321E+02        3.580362E+01        -3.609953E+00        2.846966E-01        
3.978489E+01        -4.009495E+02        3.570722E+01        -3.599675E+00        2.838555E-01        
3.974915E+01        -3.998699E+02        3.561108E+01        -3.589425E+00        2.830169E-01        
3.971344E+01        -3.987931E+02        3.551519E+01        -3.579205E+00        2.821807E-01        
3.967777E+01        -3.977192E+02        3.541956E+01        -3.569013E+00        2.813470E-01        
3.964212E+01        -3.966482E+02        3.532419E+01        -3.558851E+00        2.805157E-01        
3.960651E+01        -3.955801E+02        3.522908E+01        -3.548717E+00        2.796868E-01        
3.957093E+01        -3.945149E+02        3.513422E+01        -3.538612E+00        2.788604E-01        
3.953539E+01        -3.934525E+02        3.503962E+01        -3.528536E+00        2.780364E-01        
3.949987E+01        -3.923930E+02        3.494528E+01        -3.518488E+00        2.772148E-01        
3.946439E+01        -3.913364E+02        3.485119E+01        -3.508469E+00        2.763956E-01        
3.942894E+01        -3.902826E+02        3.475735E+01        -3.498478E+00        2.755789E-01        
3.939352E+01        -3.892316E+02        3.466376E+01        -3.488516E+00        2.747645E-01        
3.935813E+01        -3.881835E+02        3.457043E+01        -3.478582E+00        2.739525E-01        
3.932277E+01        -3.871382E+02        3.447734E+01        -3.468676E+00        2.731429E-01        
3.928745E+01        -3.860957E+02        3.438451E+01        -3.458798E+00        2.723356E-01        
3.925215E+01        -3.850560E+02        3.429193E+01        -3.448949E+00        2.715308E-01        
3.921689E+01        -3.840191E+02        3.419959E+01        -3.439127E+00        2.707283E-01        
3.918166E+01        -3.829850E+02        3.410751E+01        -3.429333E+00        2.699281E-01        
3.914647E+01        -3.819537E+02        3.401567E+01        -3.419567E+00        2.691303E-01        
3.911130E+01        -3.809252E+02        3.392408E+01        -3.409829E+00        2.683348E-01        
3.907617E+01        -3.798994E+02        3.383274E+01        -3.400118E+00        2.675417E-01        
3.904106E+01        -3.788764E+02        3.374164E+01        -3.390435E+00        2.667509E-01        
3.900599E+01        -3.778561E+02        3.365079E+01        -3.380780E+00        2.659624E-01        
3.897095E+01        -3.768386E+02        3.356019E+01        -3.371152E+00        2.651762E-01        
3.893595E+01        -3.758239E+02        3.346982E+01        -3.361551E+00        2.643923E-01        
3.890097E+01        -3.748118E+02        3.337970E+01        -3.351977E+00        2.636107E-01        
3.886602E+01        -3.738025E+02        3.328983E+01        -3.342431E+00        2.628314E-01        
3.883111E+01        -3.727959E+02        3.320019E+01        -3.332912E+00        2.620544E-01        
3.879623E+01        -3.717921E+02        3.311080E+01        -3.323419E+00        2.612797E-01        
3.876138E+01        -3.707909E+02        3.302165E+01        -3.313954E+00        2.605073E-01        
3.872656E+01        -3.697924E+02        3.293273E+01        -3.304516E+00        2.597371E-01        
3.869177E+01        -3.687966E+02        3.284406E+01        -3.295104E+00        2.589692E-01        
3.865701E+01        -3.678035E+02        3.275562E+01        -3.285719E+00        2.582035E-01        
3.862228E+01        -3.668131E+02        3.266743E+01        -3.276361E+00        2.574401E-01        
3.858759E+01        -3.658253E+02        3.257947E+01        -3.267029E+00        2.566789E-01        
3.855292E+01        -3.648402E+02        3.249175E+01        -3.257724E+00        2.559199E-01        
3.851829E+01        -3.638577E+02        3.240426E+01        -3.248445E+00        2.551632E-01        
3.848369E+01        -3.628779E+02        3.231701E+01        -3.239193E+00        2.544087E-01        
3.844912E+01        -3.619008E+02        3.222999E+01        -3.229967E+00        2.536564E-01        
3.841458E+01        -3.609262E+02        3.214321E+01        -3.220767E+00        2.529063E-01        
3.838007E+01        -3.599543E+02        3.205666E+01        -3.211593E+00        2.521584E-01        
3.834559E+01        -3.589850E+02        3.197035E+01        -3.202445E+00        2.514127E-01        
3.831115E+01        -3.580183E+02        3.188427E+01        -3.193324E+00        2.506692E-01        
3.827673E+01        -3.570542E+02        3.179842E+01        -3.184228E+00        2.499279E-01        
3.824235E+01        -3.560927E+02        3.171280E+01        -3.175158E+00        2.491887E-01        
3.820799E+01        -3.551338E+02        3.162741E+01        -3.166114E+00        2.484517E-01        
3.817367E+01        -3.541775E+02        3.154225E+01        -3.157095E+00        2.477169E-01        
3.813938E+01        -3.532238E+02        3.145732E+01        -3.148102E+00        2.469842E-01        
3.810512E+01        -3.522726E+02        3.137262E+01        -3.139135E+00        2.462537E-01        
3.807089E+01        -3.513240E+02        3.128815E+01        -3.130193E+00        2.455253E-01        
3.803669E+01        -3.503779E+02        3.120390E+01        -3.121276E+00        2.447991E-01        
3.800252E+01        -3.494344E+02        3.111988E+01        -3.112385E+00        2.440750E-01        
3.796838E+01        -3.484934E+02        3.103609E+01        -3.103519E+00        2.433530E-01        
3.793427E+01        -3.475550E+02        3.095252E+01        -3.094678E+00        2.426332E-01        
3.790020E+01        -3.466191E+02        3.086918E+01        -3.085862E+00        2.419154E-01        
3.786615E+01        -3.456857E+02        3.078607E+01        -3.077072E+00        2.411998E-01        
3.783213E+01        -3.447548E+02        3.070317E+01        -3.068306E+00        2.404862E-01        
3.779815E+01        -3.438264E+02        3.062050E+01        -3.059565E+00        2.397748E-01        
3.776419E+01        -3.429006E+02        3.053805E+01        -3.050849E+00        2.390654E-01        
3.773027E+01        -3.419772E+02        3.045583E+01        -3.042158E+00        2.383581E-01        
3.769638E+01        -3.410563E+02        3.037382E+01        -3.033491E+00        2.376529E-01        
3.766251E+01        -3.401379E+02        3.029204E+01        -3.024849E+00        2.369498E-01        
3.762868E+01        -3.392219E+02        3.021048E+01        -3.016232E+00        2.362487E-01        
3.759488E+01        -3.383085E+02        3.012913E+01        -3.007639E+00        2.355497E-01        
3.756111E+01        -3.373975E+02        3.004801E+01        -2.999070E+00        2.348527E-01        
3.752736E+01        -3.364889E+02        2.996710E+01        -2.990526E+00        2.341578E-01        
3.749365E+01        -3.355828E+02        2.988641E+01        -2.982006E+00        2.334649E-01        
3.745997E+01        -3.346791E+02        2.980594E+01        -2.973511E+00        2.327741E-01        
3.742632E+01        -3.337779E+02        2.972569E+01        -2.965039E+00        2.320853E-01        
3.739270E+01        -3.328790E+02        2.964565E+01        -2.956592E+00        2.313985E-01        
3.735911E+01        -3.319826E+02        2.956583E+01        -2.948168E+00        2.307137E-01        
3.732555E+01        -3.310887E+02        2.948622E+01        -2.939768E+00        2.300309E-01        
